ComplexName,AmenityID,AmenityName
Origin at Frisco Bridges,14,Dishwasher
Origin at Frisco Bridges,15,Refrigerator
Origin at Frisco Bridges,16,Kitchen
Origin at Frisco Bridges,9,In Unit Washer & Dryer
Origin at Frisco Bridges,10,Walk-In Closets
Capitol at Stonebriar,1,Dog & Cat Friendly
Capitol at Stonebriar,2,Fitness Center
Capitol at Stonebriar,3,Pool
Capitol at Stonebriar,14,Dishwasher
Capitol at Stonebriar,15,Refrigerator
Capitol at Stonebriar,16,Kitchen
Capitol at Stonebriar,9,In Unit Washer & Dryer
Capitol at Stonebriar,10,Walk-In Closets
Rancho Palisades,1,Dog & Cat Friendly
Rancho Palisades,3,Pool
Rancho Palisades,9,In Unit Washer & Dryer
Rancho Palisades,27,Granite Countertops
Rancho Palisades,28,Hardwood Floors
Rancho Palisades,37,Office
Rancho Palisades,18,EV Charging
Allure North Dallas,1,Dog & Cat Friendly
Allure North Dallas,2,Fitness Center
Allure North Dallas,3,Pool
Allure North Dallas,9,In Unit Washer & Dryer
Allure North Dallas,19,Clubhouse
Allure North Dallas,31,High-Speed Internet
Allure North Dallas,29,Playground
Anthem Cityline Apartments,1,Dog & Cat Friendly
Anthem Cityline Apartments,2,Fitness Center
Anthem Cityline Apartments,3,Pool
Anthem Cityline Apartments,11,Stainless Steel Appliances
Anthem Cityline Apartments,26,Business Center
Anthem Cityline Apartments,28,Hardwood Floors
Anthem Cityline Apartments,6,Elevator
Cortland Legacy,1,Dog & Cat Friendly
Cortland Legacy,2,Fitness Center
Cortland Legacy,3,Pool
Cortland Legacy,9,In Unit Washer & Dryer
Cortland Legacy,12,Package Service
Cortland Legacy,5,Controlled Access
Cortland Legacy,27,Granite Countertops
Cortland at Stonebriar,1,Dog & Cat Friendly
Cortland at Stonebriar,2,Fitness Center
Cortland at Stonebriar,3,Pool
Cortland at Stonebriar,14,Dishwasher
Cortland at Stonebriar,9,In Unit Washer & Dryer
Cortland at Stonebriar,12,Package Service
Cortland at Stonebriar,5,Controlled Access
Cortland at Stonebriar,27,Granite Countertops
MAA Frisco Bridges,1,Dog & Cat Friendly
MAA Frisco Bridges,9,In Unit Washer & Dryer
MAA Frisco Bridges,31,High-Speed Internet
MAA Frisco Bridges,11,Stainless Steel Appliances
MAA Frisco Bridges,27,Granite Countertops
MAA Frisco Bridges,28,Hardwood Floors
MAA Frisco Bridges,33,Gated
MAA Frisco Bridges,18,EV Charging
Lofts at Watters Creek Apartments,1,Dog & Cat Friendly
Lofts at Watters Creek Apartments,2,Fitness Center
Lofts at Watters Creek Apartments,3,Pool
Lofts at Watters Creek Apartments,14,Dishwasher
Lofts at Watters Creek Apartments,15,Refrigerator
Lofts at Watters Creek Apartments,16,Kitchen
Lofts at Watters Creek Apartments,9,In Unit Washer & Dryer
Lofts at Watters Creek Apartments,10,Walk-In Closets
The Vincent,1,Dog & Cat Friendly
The Vincent,2,Fitness Center
The Vincent,3,Pool
The Vincent,14,Dishwasher
The Vincent,15,Refrigerator
The Vincent,16,Kitchen
The Vincent,9,In Unit Washer & Dryer
The Vincent,10,Walk-In Closets
Tides at Park43,1,Dog & Cat Friendly
Tides at Park43,2,Fitness Center
Tides at Park43,3,Pool
Tides at Park43,14,Dishwasher
Tides at Park43,15,Refrigerator
Tides at Park43,9,In Unit Washer & Dryer
Tides at Park43,19,Clubhouse
